chr	start	end	lnc
chr9	44401765	44464596	lnc-RP11-160N1.10.1-2
chr12	16939695	16940779	lnc-MGST1-3
chr19	36066505	36092637	lnc-HAUS5-3
chr4	189678832	189700133	lnc-TRIML1-4
chr7	26591440	26596819	lnc-C7orf71-1
chr2	7561391	7590385	lnc-RNF144A-2
chr1	76398163	76485041	lnc-MSH4-1
chr13	45992296	45994506	SLC25A30-AS1
chr16	27078027	27080486	lnc-JMJD5-1
chr13	33929342	34250935	lnc-STARD13-2
chr1	102105103	102253128	lnc-S1PR1-4
chr11	67612672	67616144	lnc-UNC93B1-4
chr12	101802149	101802838	lnc-ARL1-1
chr14	57284287	57360428	lnc-OTX2-1
chr2	35223339	35225227	lnc-FAM98A-3
chr12	132106435	132107748	lnc-DDX51-8
chr1	147634638	147658907	lnc-GPR89B-3
chr12	31064963	31158945	lnc-CAPRIN2-2
chr7	137003338	137011700	lnc-CHRM2-1
chr4	37075558	37134967	lnc-KIAA1239-2
chr1	241577049	241597210	lnc-KMO-1
chr2	174745592	174764156	lnc-SP3-1
chr7	76600369	76606278	lnc-FGL2-2
chr13	78391273	78482563	EDNRB-AS1
chr14	29252696	29265164	lnc-PRKD1-7
chr6	46714698	46726942	lnc-MEP1A-1
chr12	8387675	8403989	lnc-ZNF705A-2
chr3	109128836	109214014	LINC01205
chr7	17414367	17525268	lnc-AHR-1
chr1	243192813	243215554	lnc-CEP170-2
chr5	43041101	43064422	lnc-ZNF131-1
chr22	33501368	33502045	lnc-SYN3-2
chr8	120177272	120257913	lnc-COLEC10-1
chr2	201966104	201967859	lnc-CFLAR-2
chr1	53703370	53714211	lnc-CPT2-3
chr11	318639	325631	lnc-IFITM1-1
chr1	95975671	96280566	lnc-RWDD3-5
chrX	134257166	134257532	lnc-CXorf48-1
chr5	20611942	20937800	lnc-PRDM9-4
chr4	142215937	142253772	lnc-RNF150-2
chr14	95514556	95517290	lnc-SERPINA3-1
chr1	221681900	221684321	lnc-HLX-1
chr2	130680749	130704276	lnc-RAB6C-1
chr1	148598397	148599539	lnc-NBPF15-1
chr9	94912662	94919727	lnc-SPTLC1-2
chr10	47589840	47644793	lnc-AGAP10-6
chr21	47649130	47679304	MCM3AP-AS1
chr2	129993110	130076374	lnc-POTEF-5
chr2	41393663	42161215	lnc-AC013480.1.1-1
chr6	74378496	74405986	lnc-SLC17A5-1
chr5	9546311	9552861	SNHG18
chr7	63348577	63361172	lnc-ZNF680-4
chr2	114285144	114300267	PGM5P4-AS1
chr14	22183017	22184486	lnc-OR10G2-1
chr1	3650849	3663939	TP73-AS1
chrY	27329789	27330920	TTTY17C
chr8	13701609	13706618	lnc-SGCZ-1
chr2	127066086	127101569	lnc-GYPC-2
chr10	2047666	2057219	LINC00700
chrX	135923089	135929956	lnc-RBMX-1
chr9	66512822	66554298	lnc-FAM75A7-4
chr9	46685428	46688171	lnc-FAM27E1.1-5
chr10	45659675	45676875	lnc-OR13A1-1
chr21	43429296	43445471	ZNF295-AS1
chr8	39420630	39437653	lnc-ADAM18-1
chr1	59249933	59367127	LINC01135
chr8	99973655	99980512	lnc-OSR2-1
chr9	100795	115772	LINC01388
chr11	67385749	67394775	lnc-NUDT8-1
chr12	122018237	122031422	lnc-ORAI1-1
chr5	157702718	157705821	lnc-LSM11-4
chr8	29351768	29444072	lnc-HMBOX1-5
chr14	70721795	70809510	lnc-ADAM21-3
chr7	129142319	129152759	lnc-RP11-305M3.3.1-1
chr2	67267677	67269098	lnc-ETAA1-7
chr8	123497753	123502054	lnc-RP11-973F15.1.1-4
chr4	31998846	32195692	lnc-PCDH7-4
chr8	138864569	138941287	lnc-C8orf17-3
chr17	47991766	48010282	lnc-DLX4-2
chr11	34554560	34579471	lnc-ELF5-2
chr4	185505246	185546915	lnc-CASP3-1
chr3	55200937	55209760	lnc-LRTM1-2
chr1	74100898	74180897	lnc-FPGT-2
chr2	48168834	48542815	lnc-FBXO11-1
chr1	150487428	150495336	FALEC
chr2	98081082	98099107	lnc-ACTR1B-3
chrX	7975418	7986201	lnc-VCX-1
chr14	28081793	28108842	LINC00645
chr11	112658026	112666577	lnc-NCAM1-1
chr14	95623775	95646327	DICER1-AS1
chr5	178804505	178805866	lnc-RUFY1-2
chr4	84154664	84168366	lnc-COQ2-1
chr2	186584600	186605206	lnc-ZSWIM2-6
chr8	120227350	120259088	lnc-TNFRSF11B-2
chr5	114423588	114424172	lnc-TRIM36-2
chr6	140092209	140181643	lnc-HECA-2
chr10	135075906	135090407	lnc-ADAM8-1
chr9	110182564	110228866	LINC01509
chr8	140472304	140475259	lnc-KCNK9-1
chr1	121236045	121252295	lnc-FCGR1B-4
chr18	61814442	61826533	lnc-SERPINB8-2
chr18	68047375	68243317	lnc-RTTN-3
chr3	13051055	13057741	lnc-CAND2-2
chr3	72252094	72259043	lnc-RYBP-3
chr19	38307934	38327847	lnc-SIPA1L3-3
chr21	40235599	40328392	lnc-ERG-9
chr1	16888817	16940083	lnc-SPATA21-2
chr14	95426613	95429313	lnc-DICER1-1
chr1	169732069	169733789	lnc-METTL18-1
chr22	42222204	42230669	lnc-SHISA8-1
chr8	33831218	33867113	lnc-DUSP26-2
chr1	114355000	114443859	AP4B1-AS1
chr8	142065388	142071707	lnc-DENND3-2
chr11	13848389	13901046	lnc-PTH-2
chr8	134898738	134914650	lnc-WISP1-4
chr3	125898907	125929012	ALDH1L1-AS2
chr5	175551212	175665322	lnc-RP11-826N14.2.1-2
chr8	94225530	94712705	LINC00535
chr4	143435598	143440136	lnc-USP38-3
chr10	89156264	89184549	LINC00864
chr22	46451619	46454040	lnc-C22orf26-1
chr8	64498557	64501966	lnc-NKAIN3-8
chr12	106444738	106452032	lnc-NUAK1-1
chr9	45034956	45047174	lnc-FAM27E1.1-8
chr3	43128970	43129560	lnc-FAM198A-1
chr5	31747750	31748185	lnc-DROSHA-3
chr14	73523652	73526123	lnc-ZFYVE1-1
chr2	3891773	3895001	lnc-DCDC2C-1
chr3	177012229	177041223	LINC00501
chr10	38536849	38622083	lnc-ZNF37A-2
chr9	91242093	91267078	lnc-SHC3-2
chr2	13850655	14541087	LINC00276
chr8	58943892	58945241	lnc-CYP7A1-3
chr5	4452042	4868236	lnc-MED10-11
chr8	91233715	91581546	LINC00534
chr13	61247088	61269934	LINC00378
chr5	38025798	38184034	lnc-EGFLAM-3
chr3	147795941	147805816	lnc-ZIC1-6
chr10	107249353	107580103	lnc-SORCS1-4
chr14	52577839	52596343	lnc-NID2-3
chr20	21129381	21198927	KIZ-AS1
chr12	4128279	4136056	lnc-CCND2-2
chr16	19297060	19337322	lnc-CLEC19A.1-1
chr14	77245294	77248592	lnc-C14orf166B-1
chr5	111857199	111868286	lnc-APC-2
chr4	150273168	150817385	lnc-LRBA-2
chr8	130310352	130715825	lnc-MYC-3
chr3	2152092	2185925	CNTN4-AS2
chrX	114829874	114833648	lnc-RP1-241P17.4.1-2
chr11	80032663	80038955	lnc-ODZ4-7
chr8	127530942	127534596	lnc-POU5F1B-5
chr5	110847923	111075423	STARD4-AS1
chr12	8700956	8720209	lnc-CLEC4E-1
chr1	116966345	117047079	lnc-ATP1A1OS-2
chr16	24672742	24682383	LINC01567
chr1	108963310	108975806	lnc-FAM102B-1
chr1	83439564	83451891	LINC01361
chr6	31261684	31269419	lnc-HLA-C-1
chr12	90674670	90710982	lnc-TMTC3-7
chr1	145952371	145956451	lnc-GPR89C-1
chr11	111639391	111649074	lnc-PPP2R1B-1
chr11	82314784	82354461	lnc-FAM181B-1
chr5	144602172	144608545	lnc-PRELID2-4
chrY	8651350	8685423	TTTY11
chr12	116248163	116323942	lnc-MED13L-2
chr15	92186246	92192344	lnc-VPS33B-1
chr7	112586294	112635712	lnc-C7orf60-1
chr12	68102826	68123255	lnc-IFNG-1
chr5	84715845	84716269	lnc-EDIL3-3
chr14	62600866	62606691	LINC00644
chr18	61747242	61816289	LINC00305
chr13	86634947	86745025	lnc-SLITRK5-10
chr5	44388833	44414091	FGF10-AS1
chr1	1655950	1668690	lnc-MMP23B-1
chr12	11694328	11708772	lnc-PRB2-1
chr4	36498158	36643522	lnc-ARAP2-3
chr11	24257022	24283764	lnc-RP11-17A1.2.1-3
chr3	193558616	193561813	lnc-ATP13A4-3
chr6	10471922	10478777	lnc-TFAP2A-13
chr12	104424521	104426026	lnc-C12orf73-1
chr1	58326203	58346577	DAB1-AS1
chr12	6548166	6561094	CD27-AS1
chr12	10902832	10930050	lnc-PRH2-1
chr3	7994491	8653610	LMCD1-AS1
chr14	105282500	105290898	LINC00638
chr12	10511062	10513644	lnc-RP11-277P12.7.1-1
chr5	53072473	53115516	lnc-ARL15-1
chr4	19173957	19458617	lnc-LCORL-2
chr9	88370956	88380132	lnc-AGTPBP1-1
chr22	17517459	17541715	CECR7
chr5	50260252	50272447	lnc-PARP8-2
chr3	8615411	8634810	lnc-C3orf32-1
chr2	2323003	2330882	MYT1L-AS1
chr14	73019287	73061833	lnc-DPF3-1
chr10	80112353	80115857	lnc-RPS24-6
chr1	147874668	147901508	lnc-GPR89B-7
chr5	163636636	163638898	lnc-MAT2B-2
chr3	138648770	138666349	LINC01391
chr4	130645325	130692636	lnc-SCLT1-3
chr3	30560230	30569089	lnc-TGFBR2-2
chr8	70337105	70360479	LINC01603
chr6	17102488	17131603	lnc-RP3-486B10.1.1-1
chr8	122651532	122657660	HAS2-AS1
chr17	72206118	72209481	lnc-BTBD17-3
chr8	87344830	87355543	lnc-SLC7A13-1
chr2	220768771	220769610	lnc-DNPEP-1
chr7	28995504	29052985	lnc-CREB5-2
chr7	65840588	65958553	LINC00174
chr7	50907059	50909689	lnc-GRB10-1
chr8	64378406	64388040	lnc-NKAIN3-7
chr13	21877650	21922860	LINC00539
chr10	102989350	103029905	LBX1-AS1
chr14	29061428	29082834	lnc-PRKD1-9
chrX	103135579	103174131	lnc-RAB9B-1
chr5	70328994	70330227	lnc-GTF2H2-1
chr1	148246958	148248104	lnc-NBPF20-1
chr4	7032280	7047958	lnc-CCDC96-1
chr9	120602599	120659534	lnc-ASTN2-2
chr12	14369523	14374231	lnc-ATF7IP-3
chr5	17112887	17217561	lnc-MYO10-1
chr21	45821793	45845479	TRPM2-AS
chr10	31455763	31609703	ZEB1-AS1
chr1	239866680	239893765	CHRM3-AS2
chr8	20133283	20147969	LZTS1-AS1
chr3	197025117	197030621	DLG1-AS1
chr2	8026897	8039801	lnc-KIDINS220-8
chr3	164924735	165373211	LINC01322
chr5	85676477	85677244	lnc-AC008394.1-2
chr1	211665389	211666259	lnc-TRAF5-3
chr14	88034524	88035743	lnc-GPR65-5
chr12	84665118	84688341	lnc-LRRIQ1-2
chr22	23804268	23829167	lnc-IGLL1-2
chrX	91354535	91360178	lnc-NAP1L3-1
chr8	74582675	74645132	lnc-TMEM70-2
chr19	40170013	40186898	lnc-LGALS14-1
chr7	1766989	1781946	ELFN1-AS1
chr6	134758799	134829511	LINC01010
chr4	148488757	148515739	lnc-EDNRA-1
chr21	28733482	28768106	lnc-GABPA-7
chr5	66995256	67198428	lnc-CD180-4
chrY	23200174	23206610	lnc-CYorf17-2
chr12	22548021	22551009	lnc-KIAA0528-1
chr3	194429077	194502897	lnc-FAM43A-3
chr14	96342594	96399510	TUNAR
chr17	19519101	19537138	lnc-AC115989.1.1-1
chr10	25447000	25465205	GPR158-AS1
chr11	126986	139612	LINC01001
chr19	46692286	46706340	lnc-IGFL3-2
chr1	226271286	226284402	lnc-H3F3A-1
chr11	28000215	28041122	lnc-KIF18A-1
chr10	61496747	61513213	lnc-SLC16A9-1
chr8	35719640	35828183	lnc-UNC5D-2
chr12	126842579	126843442	lnc-TMEM132B-6
chr3	24535577	24723202	THRB-AS1
chr10	36727543	36731320	lnc-ANKRD30A-7
chr5	124372523	124703427	lnc-RP11-43D2.2.1-12
chr8	103991012	104082629	lnc-ATP6V1C1-9
chr2	197124747	197128928	lnc-CCDC150-1
chr8	79060335	79066148	lnc-PKIA-2
chr14	60007400	60031208	lnc-RTN1-2
chr15	82647353	82726435	lnc-GOLGA6L9-2
chr6	29191650	29258217	lnc-OR14J1-2
chr11	13015585	13030706	lnc-BTBD10-2
chr21	29810739	30209100	lnc-N6AMT1-1
chr15	91494011	91498459	lnc-PRC1-1
chr16	28814063	28829149	lnc-ATXN2L-1
chr1	76507375	76531979	lnc-ST6GALNAC3-1
chr1	118406110	118411617	lnc-WDR3-1
chr1	147805608	148176466	LINC01138
chr7	149728722	149776161	lnc-ATP6V0E2-2
chr8	102273768	102275131	lnc-ZNF706-3
chr11	55451616	55453636	lnc-OR4C11-1
chr11	22134993	22138547	lnc-ANO5-1
chr11	35600977	35606858	lnc-PAMR1-1
chr3	6004528	6165807	lnc-GRM7-7
chr12	66038113	66057079	lnc-MSRB3-3
chr11	59327669	59333598	lnc-OSBP-1
chr14	50863054	50886143	lnc-RP11-247L20.2.1-1
chr10	43168460	43187527	LINC01518
chr1	31297074	31307278	lnc-ZCCHC17-3
chr5	172381909	172384165	lnc-RPL26L1-1
chr1	192486319	192507418	lnc-RGS1-1
chr2	6636134	6643938	lnc-RSAD2-1
chr12	119256608	119271341	lnc-TAOK3-5
chr14	59294951	59484098	LINC01500
chr1	156368457	156427143	lnc-C1orf61-2
chr10	43191482	43201901	lnc-BMS1-2
chr11	130714085	130744709	lnc-RP11-890B15.2.1-1
chr12	9381128	9386803	lnc-PZP-1
chr9	129032399	129038197	lnc-MAPKAP1-2
chr19	43326014	43331030	lnc-AC011497.1-1
chr11	134820601	134821462	lnc-GLB1L2-5
chr10	37529149	37530977	lnc-ANKRD30A-1
chr2	6868308	6910442	LINC00487
chr8	80681062	80783994	lnc-HEY1-1
chr11	29357424	29615842	lnc-KCNA4-3
chr22	23775714	23777258	lnc-BCR-2
chr17	49512787	49523163	lnc-UTP18-4
chrX	139099425	139100323	lnc-F9-1
chr3	114819269	114821908	ZBTB20-AS4
chr3	28038700	28070095	lnc-EOMES-2
chr9	26746950	26811097	lnc-IFT74-1
chr8	95109991	95116550	lnc-CDH17-1
chr6	161293919	161339681	lnc-LPA-3
chr9	69146938	69149621	lnc-BX255923.1-1
chr2	96811340	96812751	lnc-DUSP2-1
chr11	327170	330122	lnc-IFITM1-3
chr5	101942492	102007263	LINC00491
chr2	108938693	108970255	lnc-SULT1C2-1
chr6	41107593	41108570	lnc-TREML1-1
chrX	100258820	100262962	lnc-TRMT2B-1
chr10	80760240	80763560	lnc-ZCCHC24-2
chr6	134749377	134980974	lnc-SGK1-3
chr8	110987713	111654819	lnc-RP11-422N16.3.1-2
chr2	70316852	70323232	lnc-PCBP1-1
chr11	28724085	29085368	lnc-METTL15-5
chr8	9229479	9293715	lnc-PPP1R3B-4
chr8	8314418	8318847	lnc-PRAGMIN.1-2
chr12	125343128	125362549	lnc-UBC-1
chr11	69860963	69867165	lnc-FGF3-1
chr11	33831690	33832724	lnc-AC132216.1-1
chr5	124537580	124538223	lnc-RP11-43D2.2.1-14
chr15	102062799	102068552	lnc-PCSK6-3
chr14	21366143	21404414	lnc-NDRG2-3
chr20	1746925	1875702	lnc-PDYN-1
chr1	177320721	177335594	lnc-FAM5B-1
chr12	97417798	97444907	lnc-NEDD1-1
chr5	165555502	165582444	lnc-ODZ2-1
chr6	41470181	41487590	LINC01276
chr20	34652764	34674472	lnc-EPB41L1-1
chr12	80083923	80172231	lnc-SYT1-4
chr17	15638336	15669134	lnc-TRIM16-2
chr13	36271660	36273393	LINC00445
chr8	49464086	49469001	lnc-EFCAB1-3
chr3	195634946	195638128	TNK2-AS1
chr12	43359924	43361156	lnc-PPHLN1-4
chr10	62704134	62786178	LINC00845
chr11	93971315	94012372	lnc-FOLR4-1
chr8	52874017	52935534	lnc-AC090186.1-2
chr17	58042192	58074333	lnc-RPS6KB1-1
chr14	21153504	21268108	lnc-RNASE1-2
chrY	9748406	9749571	TTTY23
chr12	65314624	65376304	lnc-WIF1-1
chr14	76437266	76437930	lnc-TTLL5-1
chr7	27202056	27219880	lnc-HOXA9-1
chr14	50793243	50794627	lnc-CDKL1-1
chrX	65235302	65240264	lnc-HEPH-1
chr1	29471005	29473506	lnc-SRSF4-1
chr6	143265860	143287652	lnc-AIG1-8
chr12	125634603	125635940	lnc-AACS-1
chr7	156264792	156433348	LINC01006
chr22	34413461	34584414	lnc-ISX-3
chr6	2854299	2881641	lnc-SERPINB9-1
chr8	2350991	2369693	lnc-CSMD1-4
chr17	48211104	48237802	lnc-SGCA-1
chr8	49569819	49571454	lnc-EFCAB1-1
chr14	21384924	21396739	lnc-NDRG2-2
chr10	36378013	36378317	lnc-NAMPTL-1
chr15	94380839	94396210	lnc-RGMA-6
chr1	48561763	48627543	lnc-RP11-543D5.3.1-4
chr14	60386430	60530277	lnc-LRRC9-1
chr12	115515129	115521152	lnc-RP11-116D17.1.1-4
chr5	82236276	82236802	lnc-TMEM167A-2
chr5	68926979	68952148	lnc-TAF9-2
chr11	57811581	57827610	lnc-OR9I1-1
chrX	122867000	122869897	lnc-XIAP-1
chr8	35861833	35952564	lnc-RP11-419C23.1.1-4
chr11	58265360	58273231	lnc-OR5B21-1
chr5	92936062	92939304	lnc-FAM172A-1
chr8	58890916	58896685	LINC01602
chr4	4323688	4335909	lnc-ZBTB49-1
chr9	46270785	46274928	lnc-FAM27E1.1-2
chr1	170143543	170210428	lnc-METTL11B-1
chr2	208125168	208135414	lnc-CREB1-1
chr11	45511238	45564024	lnc-CHST1-5
chr5	157851287	157891687	lnc-LSM11-6
chr8	112191421	112192101	lnc-CSMD3-2
chr2	196316501	196479610	lnc-DNAH7-1
chr3	114591879	114595361	ZBTB20-AS3
chr21	29488412	29600986	lnc-N6AMT1-2
chr3	141382040	141439915	lnc-RNF7-2
chr6	93432720	93433547	lnc-EPHA7-1
chr7	31454258	31460900	lnc-NEUROD6-1
chr11	6384028	6386497	lnc-SMPD1-2
chr1	13146776	13147256	lnc-PRAMEF22-1
chr21	39609138	39610123	lnc-DSCR4-1
chr4	6202457	6257734	lnc-WFS1-3
chr20	48864179	48883632	lnc-CEBPB-4
chr19	21752903	21770179	lnc-ZNF100-2
chr2	105940666	105946986	lnc-C2orf49-1
chr21	33452628	33570125	LINC00159
chr4	150075446	150199280	lnc-DCLK2-3
chr14	62536235	62547872	lnc-KCNH5-4
chr5	17684692	17955966	lnc-BASP1-7
chr1	175126122	175162079	lnc-TNR-2
chr5	161851383	161854351	lnc-GABRB2-3
chr12	95782374	95799280	lnc-RP11-167N24.6.1-3
chr12	53553369	53554784	lnc-ZNF740-1
chr19	58754649	58790177	lnc-A1BG-1
chr14	83483449	83484488	lnc-SEL1L-5
chr1	694411	714068	lnc-OR4F16-4
chr3	108837098	108872133	lnc-TRAT1-2
chr5	166543322	166546590	lnc-PANK3-11
chr11	65513199	65539056	lnc-OVOL1-1
chr8	18942501	19116979	lnc-PSD3-1
chr2	166651366	166702707	lnc-GALNT3-1
chr3	4938396	5022059	BHLHE40-AS1
chr1	120876262	120905159	lnc-FCGR1B-1
chr8	116962735	117416004	LINC00536
chr3	195351222	195356372	lnc-AC069257.9.1-7
chr12	47747536	47763718	lnc-FAM113B-3
chr11	105983185	106002843	lnc-KBTBD3-2
chr5	174346084	174422734	lnc-DRD1-1
chr3	176531942	176534789	LINC01209
chr11	130434324	130628495	lnc-RP11-890B15.2.1-4
chr5	38693314	38881637	OSMR-AS1
chr8	111779091	111784988	lnc-RP11-422N16.3.1-3
chr22	27444105	27456480	lnc-CRYBB1-2
chr11	86438396	86476307	lnc-PRSS23-2
chr12	2870365	2880835	lnc-NRIP2-3
chr14	104320702	104346641	lnc-PPP1R13B-1
chr11	46138128	46138869	lnc-CREB3L1-4
chr4	178650791	178829090	LINC01099
chr14	62570095	62583893	lnc-KCNH5-3
chr3	150588831	150612089	lnc-FAM188B2-1
chr1	148760503	148761583	lnc-NBPF16-1
chr8	7812534	7866277	FAM66E
chr2	38630971	38742882	lnc-ATL2-1
chr12	11700963	11743303	LINC01252
chr2	151352731	151433445	lnc-TNFAIP6-3
chr1	48154134	48169055	lnc-FOXD2-1
chr14	48865710	48960970	lnc-MDGA2-3
chr1	227698296	227708178	lnc-CDC42BPA-1
chr14	19562688	19566731	lnc-POTEM-8
chr4	36245737	36277083	lnc-DTHD1-1
chr7	89941809	89951906	lnc-C7orf63-1
chr1	83911649	83928370	lnc-PRKACB-3
chr9	126768555	126771675	lnc-DENND1A-3
chr1	121102016	121140666	lnc-FCGR1B-3
chr11	1683813	1684573	lnc-KRTAP5-4-1
chr17	14737926	14803871	lnc-HS3ST3B1-3
chr13	67946518	67954108	LINC00364
chr8	73374545	73383207	lnc-KCNB2-2
chr11	42204841	42275262	lnc-LRRC4C-3
chr1	69521580	69650686	lnc-LRRC7-4
chr11	78902602	78904205	lnc-USP35-7
chr10	51214506	51216406	lnc-AGAP8-1
chr1	211499956	211617435	LINC00467
chrY	7567397	7569288	TTTY16
chr8	12651751	12675800	LINC00681
chr8	94271894	94310204	lnc-AC117834.1-4
chr6	43963459	44042389	lnc-MRPL14-2
chr17	1614013	1620468	MIR22HG
chr2	242912833	242919427	lnc-CXXC11-2
chr3	55644630	55647132	lnc-CACNA2D3-4
chr1	32398620	32399576	lnc-AL136115.1-1
chr3	147878697	147944393	lnc-AGTR1-2
chr17	19314506	19320589	lnc-RNF112-1
chr4	143487171	143582103	lnc-USP38-2
chr14	19740032	19742744	lnc-POTEM-5
chr1	240693751	240694162	lnc-FMN2-1
chr9	66455748	66470542	LINC01410
chr16	1355547	1359414	lnc-C16orf42-2
chrX	140713993	140714863	lnc-SPANXA2-1
chr7	65991074	66057431	lnc-SBDS-4
chr1	9208069	9262678	lnc-GPR157-1
chr13	51656254	51746524	LINC00371
chr14	39644088	39645087	lnc-TRAPPC6B-1
chr12	60486644	60489852	lnc-SLC16A7-2
chrX	134225084	134232739	lnc-FAM127B-1
chr9	7930826	7935137	lnc-C9orf123-3
chr11	25945686	25948596	lnc-ANO3-2
chr8	130952101	130961640	lnc-EFR3A-4
chr2	89109983	89545062	lnc-AC110080.1-4
chr8	101393487	101426687	lnc-RNF19A-1
chr14	46410145	46971104	LINC00871
chr8	93433077	93434026	lnc-RUNX1T1-2
chr18	29992144	29993199	lnc-MEP1B-2
chr2	20650296	20654380	lnc-RHOB-1
chr4	190580758	190582640	LINC01262
chr11	69831981	69861921	lnc-ANO1-3
chr8	10334629	10336899	lnc-RP1L1-3
chr8	144060068	144099854	lnc-CYP11B2-1
chr6	80129866	80228894	lnc-SH3BGRL2-2
chr12	123413547	123466196	lnc-ABCB9-1
chrX	115826831	115828189	lnc-CXorf61-1
chr2	9250965	9257013	lnc-ASAP2-2
chr5	129083965	129100756	lnc-ADAMTS19-1
chr11	12052421	12083332	lnc-MICAL2-4
chr21	23381262	23470778	lnc-MRPL39-38
chr7	62812929	62853370	lnc-AC006455.1-2
chr1	147801123	147816764	lnc-GPR89B-6
chr14	57226096	57232475	lnc-C14orf101-2
chr13	74138380	74162207	LINC00392
chrX	70934220	70938135	lnc-CXCR3-2
chr12	54475901	54498869	lnc-HOXC4-1
chr17	53604324	53638452	lnc-MMD-5
chr14	21484930	21485921	lnc-TPPP2-1
chr5	104109341	104135473	lnc-C5orf30-3
chr3	149688742	149699935	lnc-RNF13-3
chr16	89106630	89119373	lnc-CBFA2T3-1
chr12	122445339	122459794	lnc-HPD-2
chr14	76939654	77193055	lnc-ANGEL1-5
chr20	18294060	18339944	lnc-DZANK1-1
chr11	87783273	87795278	lnc-TMEM135-3
chr8	25283036	25284096	lnc-GNRH1-1
chr12	116007468	116019544	lnc-RP11-116D17.1.1-2
chr9	91620685	91625393	lnc-SHC3-1
chr4	112748036	112993854	lnc-TIFA-2
chr6	161347013	161349017	lnc-MAP3K4-2
chr15	26147506	26298267	lnc-GABRA5-10
chr9	66692392	66697441	lnc-RP11-262H14.4.1-2
chr2	47552996	47571656	BCYRN1
chr11	97093643	97130987	lnc-CCDC82-2
chr13	23993109	24003008	SACS-AS1
chr6	114113031	114158556	lnc-MARCKS-2
chr14	87402983	87455469	lnc-RP11-322L20.1.1-2
chr10	70975088	70992246	lnc-TACR2-2
chrY	24246960	24293631	lnc-PRY2-1
chr9	109879739	109883986	lnc-KLF4-3
chr5	134984272	134989624	lnc-CXCL14-1
chr7	108238818	108283789	lnc-DNAJB9-1
chr4	132623070	132897341	lnc-RP11-62N21.1.1-2
chr3	70246044	70361877	lnc-FOXP1-6
chr11	25756316	25803305	lnc-ANO3-3
chr15	26902176	26903910	lnc-ATP10A-4
chr8	94228153	94247107	lnc-RP11-88J22.1.1-2
chr5	98869693	98913661	lnc-RGMB-2
chr17	19360402	19361704	lnc-MFAP4-2
chr12	110318477	110326272	lnc-TCHP-3
chr3	75721412	75739217	LINC00960
chr11	85903828	85904524	lnc-PICALM-2
chr4	108179856	108223027	lnc-SGMS2-2
chr12	57824898	57828191	lnc-INHBC-1
chr5	157600608	157603430	lnc-CLINT1-1
chr10	80053598	80060874	lnc-RPS24-4
chr5	1544221	1551825	lnc-LPCAT1-1
chr7	125071400	125106455	lnc-SPAM1-6
chr1	157155177	157157195	lnc-LRRC71-1
chr7	39019494	39053168	POU6F2-AS2
chr11	36342707	36344990	lnc-COMMD9-1
chr12	12821915	12838009	lnc-CREBL2-1
chr1	145096219	145119194	lnc-NOTCH2NL-1
chr12	8404006	8450140	lnc-ZNF705A-3
chrX	39085355	39186677	LINC01281
chr12	27857500	27861298	lnc-MRPS35-1
chr21	15755049	15772049	lnc-RBM11-1
chr4	12225074	12252910	lnc-DRD5-12
chr14	77177000	77227731	lnc-ANGEL1-3
chr3	75673836	75721241	lnc-ZNF717-1
chr12	130531676	130532921	lnc-FZD10-2
chr5	139028583	139029313	lnc-TMEM173-1
chr1	1355545	1363005	lnc-TMEM88B-2
chr7	56182373	56184093	lnc-RP4-725G10.1.1-1
chr17	13836036	13843911	lnc-CDRT15-4
chr17	13927801	13928991	lnc-COX10-2
chr8	53207014	53214502	lnc-AC090186.1-5
chr1	170556389	170557377	lnc-KIFAP3-3
chrX	53123302	53201138	KANTR
chr7	128506384	128512098	lnc-ATP6V1F-1
chr4	165675215	165728907	LINC01207
chr3	149983193	150041534	LINC01214
chr5	90519235	90519784	lnc-GPR98-1
chr9	41958801	42251589	lnc-FAM75A4-3
chr2	38359778	38466732	lnc-CYP1B1-1
chr1	16973893	16975897	lnc-MST1P9-1
chr20	46011781	46050965	lnc-ZMYND8-1
chr5	44495719	44510384	lnc-FGF10-1
chr5	82061222	82066318	lnc-XRCC4-2
chr19	58816661	58827023	lnc-ZNF8-4
chr4	139230863	139345498	LINC00499
chr2	156868041	157111462	lnc-NR4A2-2
chr12	54555848	54558236	lnc-SMUG1-1
chr12	128368534	128468436	LINC00508
chr14	97576752	97585584	lnc-RP11-204N11.1.1-4
chr11	61513964	61525136	lnc-C11orf10-3
chr12	124191689	124196765	lnc-EIF2B1-3
chr20	57169472	57179029	lnc-STX16-2
chr19	36800510	36823483	LINC00665
chr8	40227515	40259367	lnc-C8orf4-3
chr3	181670130	181728466	LINC01206
chr8	140108547	140115073	lnc-COL22A1-1
chr2	216444129	216447358	lnc-FN1-2
chr14	100157781	100159985	lnc-CCDC85C-1
chr12	133038827	133039442	lnc-FBRSL1-1
chr17	15709554	15721056	lnc-TRIM16-5
chr9	97247981	97250077	lnc-HIATL1-1
chr10	44126329	44127012	lnc-ZNF32-1
chr20	18548063	18550207	LINC00493
chr8	84824947	85052518	lnc-RALYL-1
chr14	100800126	100820398	lnc-SLC25A47-2
chr19	29777917	30016661	lnc-UQCRFS1-1
chr8	138821686	139095813	lnc-FAM135B-1
chr8	121064418	121068440	lnc-DEPTOR-1
chr2	46559654	46656225	lnc-ATP6V1E2-1
chr12	131947517	131977764	lnc-STX2-7
